session,user,Cluster,Distance,Distance Cluster 1,Distance Cluster 2,Distance Cluster 3,Distance Cluster 4,Distance Cluster 5,Distance Cluster 6,Distance Cluster 7,Distance Cluster 8,Distance Cluster 9,Distance Cluster 10
session_0919508187,user12,3,3.8821690127,72.738004272,39.302500912,3.8821690127,15.426388441,19.915939982,133.1439426,42.722371223,6.3892196245,39.065962319,60.451040121
session_1017063962,user12,7,5.5129772208,134.81831559,70.698455808,45.513219782,18.863660816,20.008734908,191.41680153,5.5129772208,37.704662421,20.330067394,43.923673142
session_1019062124,user12,4,0.5805759818,99.031289926,44.922902681,7.9137009942,0.5805759818,7.561446941,155.75012435,13.137152167,1.7995678934,18.262692705,50.200007803
session_1022551827,user12,4,4.5711138691,75.545322779,33.359077234,5.171992331,4.5711138691,6.1587878307,142.46866113,16.989883327,5.6368430472,11.761173386,36.011034095
session_1134724645,user12,9,1.4764469088,120.98280486,61.545114193,27.332553948,12.473475696,17.967934451,175.45958425,16.90232749,19.603562861,1.4764469088,50.60017052
session_1143731163,user12,9,3.3898660844,119.82400797,60.623204619,23.79056163,11.745460398,18.899541978,176.22754711,21.07636647,15.692184552,3.3898660844,56.044062023
session_1178629549,user12,4,0.9444315629,85.439215897,41.007249496,5.1949042192,0.9444315629,4.4639401904,141.89633514,12.566362415,2.2682602299,17.915674302,42.257022386
session_1196335015,user12,7,5.5999053362,94.074374669,57.469071754,34.941512709,19.475909622,11.412420652,124.33424258,5.5999053362,37.054577277,22.310161844,22.445284513
session_1205304288,user12,9,1.2112757983,107.87467007,57.193667629,31.136968363,19.234543143,19.32446678,172.94699387,19.988690573,28.239442797,1.2112757983,40.883266574
session_1239074582,user12,9,3.2778025857,119.69326152,58.127711937,23.609336502,11.795848643,19.351666524,175.59809308,21.345441506,15.803146176,3.2778025857,55.600486353
session_1288650341,user12,8,5.9818967647,109.16526826,58.46774153,11.990313343,18.583679461,31.61815449,168.92917706,52.244574702,5.9818967647,47.817330051,91.194142116
session_1358651464,user12,9,6.1010808694,131.50271616,68.404718848,47.417285189,23.762903206,23.60920013,188.46019224,11.948911655,41.4857449,6.1010808694,40.803491554
session_1412721528,user12,8,0.7170040226,106.04737987,49.871332809,8.5241775149,2.0386856508,11.630291457,162.14804476,18.807964091,0.7170040226,21.885949114,60.032548966
session_1456340454,user12,4,1.5113999778,98.20367455,48.227854537,8.358945074,1.5113999778,8.2378885014,147.59650035,14.326038387,2.7529034968,20.971112532,50.647171163
session_1508041930,user12,4,0.8286104712,102.58379205,49.282015731,10.042087884,0.8286104712,7.4938958659,159.1152358,11.725478335,3.0699583029,17.566538967,50.680844749
session_1548161375,user12,8,0.4819261219,109.27668839,55.066099545,8.977848158,4.6634758737,15.714185448,164.03983552,25.702656942,0.4819261219,26.222942349,68.553209437
session_1574713570,user12,8,0.6905236572,101.0832503,44.93308092,7.2933498986,1.6289607099,9.8086060579,159.76760131,17.369718067,0.6905236572,20.255316717,56.033054739
session_1591951224,user12,4,0.6862301958,86.427120017,37.858102929,5.631673046,0.6862301958,4.3146040557,149.17776982,11.427277709,2.5317829105,17.712265219,41.680408678
session_1593696549,user12,8,0.4103936299,102.27194269,49.686299473,7.5280687126,2.0101019155,10.708966762,158.69384913,18.842471362,0.4103936299,21.795136643,58.292816876
session_1656689994,user12,4,0.9926489368,103.99820431,48.852406742,14.595073838,0.9926489368,5.5505607934,159.85741598,4.6386027746,8.0789371454,13.908013958,41.773685723
session_1843905203,user12,4,0.9988046664,105.89036157,49.019950257,10.533687827,0.9988046664,8.8899911604,161.64149276,12.559566596,2.8624538453,18.646363446,52.984153226
session_1928096865,user12,8,0.7980909163,99.748021275,47.722410853,7.3255371106,1.5638421451,9.3781797535,159.1311578,17.117576149,0.7980909163,19.37988014,54.789521131
session_1956761643,user12,8,0.1752477231,100.20039725,50.322709707,6.6253849266,4.2151999922,13.291676723,157.22156018,24.599712441,0.1752477231,26.641109935,63.055205375
session_2062712102,user12,5,2.7647656462,53.857983871,31.480097138,15.420229392,14.299053341,2.7647656462,113.79877194,9.9575990342,24.354978264,24.930959078,12.189681863
session_2083592190,user12,8,0.5525482777,98.883374428,48.337319381,6.1982345795,6.2822258356,15.899900388,157.54941105,29.481115928,0.5525482777,29.328566122,66.374903616
session_2092403163,user12,4,3.1035563689,111.28887761,53.398069671,19.248743379,3.1035563689,8.1628761915,166.68264568,4.9501768841,11.813634751,11.674318386,43.082473369
session_2116060291,user12,5,4.8103863657,58.208795971,37.474597827,19.772122246,15.532423374,4.8103863657,138.654789,9.3448374538,27.56237228,21.426754012,10.429366748
session_2177337196,user12,4,1.9903181426,89.600354398,42.444020713,9.1005080622,1.9903181426,4.7033053608,140.50818312,9.3236449016,5.8409584309,19.821232447,40.17030932
session_2217789924,user12,8,0.9795769439,95.292913185,53.442839399,6.211089182,5.8017773025,13.871114096,150.06176455,27.20302839,0.9795769439,30.853303056,62.966390429
session_2237300884,user12,8,0.3929462332,104.42068961,52.879737234,7.6662401229,4.887700741,15.212430731,158.96228489,26.260315889,0.3929462332,30.166631431,67.216109468
session_2287816341,user12,4,0.5331404027,109.71829442,50.268523392,13.665691897,0.5331404027,7.6096625361,165.12883356,7.7156806327,5.436104035,14.736268527,49.042009489
session_2323064700,user12,8,0.1582649591,102.65052974,50.891502605,7.1062633723,4.1224158468,13.973663129,158.39984523,24.711044135,0.1582649591,26.460611104,64.1700978
session_2487049182,user12,8,0.8828184224,99.178915073,49.83178513,6.5318530303,7.500386549,17.17927927,157.68821562,31.65094574,0.8828184224,34.310002579,69.479491933
session_2509775056,user12,8,2.9458665089,97.552382466,55.576628434,7.3819052419,12.642036519,22.668066752,146.94603086,41.479474538,2.9458665089,41.789865562,76.520252614
session_2555172883,user12,9,5.5825849211,119.2457498,60.50713675,23.729215324,14.983582426,23.397668383,175.28275155,28.724262725,16.470423266,5.5825849211,61.063653782
session_2614149384,user12,8,0.1450291308,96.104339113,48.339315407,5.4920111461,4.8762101362,13.574244926,152.96968512,26.310652107,0.1450291308,27.788502439,62.121213526
session_2726751248,user12,8,2.2255107755,106.30900945,56.173720724,9.0061012873,11.023739516,22.993515547,162.87216075,39.002362836,2.2255107755,39.632934672,79.349343971
session_2794743722,user12,8,0.2407697281,94.700238521,44.027422806,5.2778550305,2.862676799,10.600304333,152.31744181,21.082596172,0.2407697281,24.146745493,56.30472377
session_2923450227,user12,4,1.3359853891,81.854981983,39.206914671,4.9811340573,1.3359853891,4.018390916,140.9575108,12.451731511,3.0897809489,16.888699358,39.293841184
session_2937285388,user12,4,1.1964645275,104.47061139,48.503681589,10.238315062,1.1964645275,9.0206842412,158.03209073,13.042372149,3.0970974867,17.809876427,51.94352609
session_2948657089,user12,9,6.4440625885,84.475882877,54.602558647,16.625271898,14.387931489,14.578035794,144.3725734,25.064801322,16.717535129,6.4440625885,39.219275128
session_2954669341,user12,8,0.5758048734,106.24034937,52.18554554,8.5265255648,2.719910828,12.427527522,162.32659761,20.640474288,0.5758048734,22.299625744,61.960257747
session_3200427673,user12,8,1.1740044195,101.93468126,47.092165971,8.0579922802,1.2764583404,9.2896944498,157.87552911,15.749379708,1.1740044195,19.34491976,54.516732882
session_3226676976,user12,4,1.8781503526,106.16306536,47.349837023,16.895990177,1.8781503526,5.7856072773,163.71141214,3.2047898144,10.381685008,12.14235819,40.2385474
session_3230049516,user12,4,1.4853017355,98.291550779,43.527684548,14.270019734,1.4853017355,4.1791295766,156.76615077,3.4051222465,9.4960610754,12.471173197,36.565001417
session_3267760096,user12,4,0.2730844422,102.81691496,48.003647368,10.300918965,0.2730844422,6.712166542,158.84324429,9.8706100376,3.2644079279,16.01753355,48.68350793
session_3315925736,user12,9,0.9978421206,98.921025938,50.475492095,28.098848595,16.42135182,14.801455751,155.90534489,14.50081079,27.336771666,0.9978421206,31.456808186
session_3360873587,user12,4,0.9859516352,100.34885494,43.869427313,9.6523418181,0.9859516352,7.6511241171,157.1361504,11.569565126,3.6984082027,16.431309065,47.871675763
session_3387344935,user12,4,0.8104655168,106.98197511,50.860412639,10.236111591,0.8104655168,9.1206685741,163.54990326,13.384205637,2.121343485,18.344818807,54.902149153
session_3448521340,user12,4,1.3065624174,99.648311393,47.241935624,7.8021757958,1.3065624174,8.8578855799,151.70863041,15.44364733,1.6200806226,18.067708511,52.121482277
session_3487526409,user12,7,1.9202207295,114.98582123,53.283590886,23.604411328,4.6924033216,8.2777614205,172.76929524,1.9202207295,16.033489284,14.002691821,41.481024471
session_3541851149,user12,8,0.3525394735,94.770086223,49.227652883,5.3207899705,5.4638208788,13.60108423,148.10216686,27.183467524,0.3525394735,28.096729511,62.283422331
session_3571551367,user12,4,1.1965042053,94.376107877,40.859630191,7.440140389,1.1965042053,7.15544819,152.02613193,13.182441291,2.8362060003,17.64587509,46.598127099
session_3657391768,user12,4,1.2707400256,100.49569571,46.990513087,7.9588753811,1.2707400256,9.0819382669,155.7381736,15.459822257,1.5005418713,20.140461433,53.266989479
session_3678562948,user12,4,1.5770385395,99.34706285,45.147025656,14.949067101,1.5770385395,4.2167528328,159.83523874,2.9907311715,9.7825505257,13.268785192,36.975427436
session_3683562482,user12,8,1.753202837,89.442777197,48.146383654,4.8644476944,9.5981636567,17.351395988,148.33947819,35.251071727,1.753202837,34.333034246,66.343876141
session_3778195656,user12,4,1.3859811236,100.22659638,44.482488979,7.9579260356,1.3859811236,9.1830636655,157.43020531,15.508826135,1.7934761725,18.934934367,52.663817517
session_3807007352,user12,4,1.6238303678,107.45531552,49.672575112,12.738009821,1.6238303678,9.1776035806,161.66032225,10.982072767,5.2244802771,17.838936182,50.671575594
session_3861991564,user12,4,0.7656860592,101.74210599,47.445306908,12.533748972,0.7656860592,5.3835775493,159.66484293,6.5129159787,6.1863429074,15.038189371,43.831460507
session_3928799857,user12,4,2.1118738451,108.42285976,48.400607599,16.319743798,2.1118738451,7.2889827599,168.21642618,5.9371188099,9.1862892491,14.744602542,45.187237342
session_3932609601,user12,4,0.5612561027,92.478717706,37.240584826,8.0770943969,0.5612561027,4.9620726715,152.98609549,9.3129024009,4.1018697537,16.055994146,41.782156294
session_3958419196,user12,4,0.8026041944,101.93161472,44.296020146,12.669428613,0.8026041944,5.885848415,162.24102791,6.5222770321,6.6148321269,14.152130008,42.983794883
session_3996482621,user12,4,0.9918125721,109.2708255,51.121663238,12.797500974,0.9918125721,8.8925358248,165.3370139,10.536661358,4.6505884978,15.977973047,51.578951468
session_4051438580,user12,8,0.8463963123,102.83403785,50.179781742,8.1255462431,1.5437154342,9.7949354557,158.43031659,16.894553523,0.8463963123,20.668808925,56.702030954
session_4066543084,user12,7,1.2947215917,108.04776529,53.121219175,29.918660647,10.963051857,9.289922016,164.500386,1.2947215917,25.78805174,19.982400655,33.061009661
session_4091639526,user12,9,2.4020627704,123.98642185,63.672538535,40.369015501,19.965499179,20.267276456,180.75301471,12.128587691,34.879700172,2.4020627704,39.863107728
session_4137223552,user12,4,0.3794401516,103.62148606,48.649330592,9.5006207163,0.3794401516,7.8566902305,158.93971969,12.083973571,2.2126120835,17.236526572,51.572873451
session_4138202528,user12,7,4.6333591627,117.59191036,58.235962816,27.757437058,8.4488286464,11.083975076,177.62967956,4.6333591627,20.390789839,16.453562214,43.645530815
session_4157921188,user12,8,1.7735602258,77.558524528,39.020869512,2.6776321038,4.1809000184,7.1969029609,137.36862301,20.777044978,1.7735602258,25.034219841,46.482463917
session_4345009224,user12,9,1.2255600541,125.3161225,62.84439063,31.185374686,13.735058557,18.757025323,180.35865118,14.856065836,23.051772708,1.2255600541,49.250681228
session_4383618618,user12,9,3.8323016151,131.51587919,72.870882285,45.449974018,24.493752273,25.220356461,185.28732477,17.440976173,39.135977092,3.8323016151,46.548586452
session_4397591928,user12,8,0.296752813,97.455519386,46.245357754,5.8295515856,4.1263409809,12.980778346,154.60900621,24.436154422,0.296752813,25.839324836,60.704156852
session_4414280148,user12,9,1.3617923076,129.1463304,66.078075943,35.245001797,16.865861408,21.387380246,184.65713806,16.616340407,27.024547752,1.3617923076,50.600804497
session_4498932663,user12,4,1.7658532006,109.17778901,49.433632245,16.072941611,1.7658532006,7.3479281815,167.90867546,6.0524747626,8.6031341302,14.209678059,45.809639522
session_4876159319,user12,4,1.4631117387,98.94378531,45.882738534,8.8882887194,1.4631117387,7.9817989294,158.20747252,13.658300578,3.049084298,18.140131151,50.104969313
session_4879326735,user12,4,0.6356280775,92.152225999,44.150850732,9.2421185562,0.6356280775,4.4818926613,147.75663556,8.1725545176,5.1317858954,14.284131918,39.384792857
session_4905082660,user12,8,1.4980904474,92.959432936,48.918437975,5.5784685075,5.2470939189,12.702718627,134.8129184,25.216120103,1.4980904474,27.30254383,58.225374962
session_4942286007,user12,8,2.476449002,80.240774543,39.022566887,3.8034280037,3.8029953286,7.2075819796,141.22976271,19.558063707,2.476449002,17.277237567,44.438753278
session_4970622399,user12,9,2.3197636063,131.33038056,68.110798772,41.579617745,19.637179722,21.741474569,186.90454679,12.788544557,34.167871035,2.3197636063,44.957002202
session_4996580201,user12,4,2.0984808984,89.23091571,47.200985391,6.5667427334,2.0984808984,6.2319787952,126.17058374,14.318780794,3.2994964078,18.583313308,44.911355039
session_5035500864,user12,9,0.6093843802,98.097740753,49.463470308,26.69735386,16.722572611,15.792772199,163.21882057,17.513935481,25.758576438,0.6093843802,34.345495487
session_5035854005,user12,8,2.3767056207,90.839214065,42.559458665,6.2490260916,2.4699363523,8.3760913812,147.12014305,16.858969682,2.3767056207,21.182974833,48.4543364
session_5046103917,user12,4,0.4922868548,102.0344346,48.027862765,8.7243092701,0.4922868548,7.9710920729,157.46107739,13.025263052,1.7850275627,18.15399468,51.856302128
session_5052301661,user12,9,10.768920637,139.27807906,78.986453317,60.756739818,34.221744904,31.036351216,193.04067458,16.019939755,55.96355111,10.768920637,41.077595122
session_5056600779,user12,8,1.9777474305,83.248525478,43.492843731,4.1486273295,2.4962375499,6.1196418551,129.94352586,16.899107692,1.9777474305,21.299540825,45.362265046
session_5088690608,user12,4,0.1165392233,92.098881132,41.308894831,7.3200369472,0.1165392233,4.6479471859,150.07532033,9.8147152079,2.9150510412,15.91004513,42.718729925
session_5254631909,user12,3,12.425633689,33.579561568,29.845787979,12.425633689,41.671266636,33.594957729,105.19031527,69.883849024,30.512980221,65.283174007,52.414838044
session_5256432882,user12,4,1.9252189178,92.700164241,36.984410186,12.38596399,1.9252189178,4.0292225519,153.22564409,4.8131231932,9.2453786543,13.515168079,34.720668583
session_5269540222,user12,4,2.0618691073,77.908222822,34.967220124,3.0743951687,2.0618691073,4.5807232036,137.71719276,15.130560184,2.1547822314,19.840884187,40.398911199
session_5301408182,user12,4,1.4896754389,92.253879906,36.622240646,7.7218998493,1.4896754389,6.4012985747,154.65804336,12.04502131,3.9906889558,19.16576576,44.677850037
session_5346999982,user12,5,2.4063253763,64.763276349,42.950442019,5.8101259778,5.0436461823,2.4063253763,124.17961485,12.978468329,8.3676306433,20.038464663,27.691097467
session_5352520893,user12,4,3.8942936309,110.43451281,54.638171495,20.156704747,3.8942936309,7.9897146896,167.47914303,4.7223083666,13.017612346,14.655679839,43.004800935
session_5420574020,user12,4,1.9486155273,92.4034026,48.787946278,12.28429325,1.9486155273,4.4898609061,145.72876147,6.4250409898,8.5064308125,14.638178018,36.17480535
session_5460114218,user12,4,2.1201954973,107.02448528,46.035412842,15.160462006,2.1201954973,8.0371098054,164.96051554,7.3241356527,8.5088489689,17.39138107,45.831622528
session_5466872812,user12,8,1.45816392,102.76547686,48.638498253,8.5330891251,1.5635329265,9.5504651194,160.79235625,16.148200924,1.45816392,20.39980298,55.772594519
session_5476317070,user12,4,3.5856021015,90.235387073,48.596400553,8.6924606614,3.5856021015,7.0243287059,149.59192191,15.00371965,4.7864368415,20.792876945,46.659848676
session_5491040460,user12,8,0.8251724219,100.03849902,43.915500236,6.9857015242,2.1360779884,10.541904983,158.12393672,18.633078096,0.8251724219,22.111898583,56.483113485
session_5518980455,user12,4,0.9977129518,107.20983713,48.500751659,14.09809293,0.9977129518,7.1944325103,162.93646958,6.9133363956,6.7958299147,14.820710788,46.079265177
session_5542773405,user12,3,2.3835204238,72.3646045,33.188353211,2.3835204238,2.3866194168,3.4540382739,133.04436782,14.685182011,2.8908195175,20.351477584,36.729686898
session_5577188457,user12,8,0.5250925399,100.85355687,48.140223657,6.6100352298,6.2698827704,16.227585069,159.90466828,29.394678357,0.5250925399,29.841698434,67.627384165
session_5659881884,user12,4,0.87455922,97.181670788,41.615378276,12.411242145,0.87455922,4.166875253,155.83916851,4.5736438828,7.6462710738,13.85718706,38.236431495
session_5693830545,user12,8,1.5813002145,107.78606008,52.462657063,9.3655917543,4.6532475194,15.359235925,161.31506088,24.270828304,1.5813002145,25.764715941,65.193331384
session_5739627610,user12,4,0.7973538529,86.558519752,40.985474798,5.0587207662,0.7973538529,5.1323429183,145.57790305,13.238348528,1.7959148819,18.144349736,43.414494485
session_5747551041,user12,4,0.4626462289,89.380777161,42.958401638,8.7879619224,0.4626462289,3.0552959879,146.83263979,7.0011288801,5.1652644871,14.569003763,37.577313801
session_5771189096,user12,4,0.6069355285,92.859994095,39.587494976,7.2598147218,0.6069355285,5.7219193584,151.2808131,11.194822973,2.9003680592,17.780523268,44.491294976
session_5826984218,user12,4,3.5320612906,94.695164064,47.787295862,14.426379766,3.5320612906,6.1672236767,147.53846504,7.0576968702,10.809746172,15.98994642,36.557950503
session_6026454768,user12,8,0.5452075297,93.878309139,48.397382348,5.0920201135,6.5103136814,15.13339001,149.70632694,29.857426564,0.5452075297,28.776672669,63.553222293
session_6142373482,user12,8,2.43826919,96.829236983,39.814289277,6.4788594165,9.7304515659,19.100383386,161.68572584,34.890768721,2.43826919,33.870906888,69.629373753
session_6167829880,user12,4,0.2234661377,94.397117043,41.223204879,7.8895259814,0.2234661377,5.4454875823,156.94399502,10.220537687,2.9346910051,16.726127832,44.461872367
session_6181462981,user12,8,0.6985593628,93.51212817,49.506254012,5.1241401909,5.1051895735,12.919558401,137.84136756,26.083389103,0.6985593628,26.824665632,59.80022583
session_6186753676,user12,4,1.1310503344,85.772322786,41.852341954,4.5120259259,1.1310503344,5.4773176664,143.39006628,14.572295857,1.3398989904,19.58058986,44.765056855
session_6229277499,user12,8,0.7024793453,109.10486445,54.283634599,9.0830832089,4.3576588428,15.475885199,163.94015695,24.740657634,0.7024793453,28.824081157,67.984882521
session_6237876052,user12,8,1.0726508133,107.96459719,51.171066252,9.2725275333,2.3976369077,12.342037542,162.66185058,19.13422149,1.0726508133,22.895370833,61.272938577
session_6304072815,user12,4,1.8189642441,86.393295661,39.276859403,4.8761979286,1.8189642441,6.2764876625,146.60965598,15.692146728,1.9011779254,15.160168509,44.567073655
session_6325552510,user12,3,2.8587981629,60.000142396,36.944519895,2.8587981629,18.572117391,19.437346066,123.13301296,45.816211149,8.7739495591,43.837748455,56.241742956
session_6339352963,user12,4,0.8002460706,98.01512028,46.144706008,9.1117612627,0.8002460706,6.6192963433,148.07775108,10.90569266,3.5208060589,17.782177571,46.619432997
session_6342146915,user12,3,1.4254057595,69.371997042,34.012196874,1.4254057595,3.7670259852,4.9915585377,126.70338341,18.498967226,2.8748344198,22.304583623,38.189953573
session_6367235807,user12,4,0.5277927318,92.860671223,42.048768239,6.3732216097,0.5277927318,6.1402744588,150.31741255,12.831651459,1.674836679,18.25795302,46.684575165
session_6446737316,user12,8,1.1456442614,100.11895138,41.016979534,7.2481594709,1.670863018,9.4900113566,160.95396312,16.699327708,1.1456442614,20.58573238,54.823211729
session_6460917775,user12,9,4.5195621554,117.76819433,61.743721887,24.340295325,14.559912225,21.329520723,174.29181713,25.819715892,17.219328021,4.5195621554,58.032090711
session_6468388206,user12,4,2.5028070497,102.96251376,46.517675415,16.559794629,2.5028070497,5.1489357184,161.94747799,3.4430874327,10.763184865,13.237567745,39.201647163
session_6558293608,user12,8,0.1750394193,102.44815588,51.017451532,7.2120238331,3.5624219226,12.916615686,158.57902843,23.062048192,0.1750394193,25.762194284,62.859768701
session_6568158324,user12,10,20.434910998,65.30185143,61.812597675,69.253954841,74.585647164,50.268407611,132.00672013,60.688170146,91.509382883,38.252185537,20.434910998
session_6597902520,user12,4,0.5442136591,108.16109731,49.417936917,11.96292688,0.5442136591,8.2550158838,163.3653887,10.084628734,3.9414684166,16.208387851,51.113717954
session_6695269196,user12,8,0.4615834309,96.11571023,51.147625555,5.729967883,6.0340564183,15.047675829,151.87203529,28.918980954,0.4615834309,29.38947632,64.254770087
session_6721137284,user12,8,0.4675051215,99.462889551,48.886424015,6.79853486,1.9945729327,10.044017575,150.48293713,18.652796827,0.4675051215,21.233532009,56.290834839
session_6835186342,user12,4,2.1499813677,89.720537922,47.018165587,6.0512109727,2.1499813677,6.8015694048,131.68222957,15.741337011,2.450659558,18.116145329,46.846929093
session_6851257171,user12,4,0.5396486964,93.534997925,45.705690524,6.8298076055,0.5396486964,6.2426560663,149.41501648,12.812375139,1.7862502817,17.732002629,46.749691668
session_6862559677,user12,4,2.663878068,80.354942581,43.402783013,4.330682562,2.663878068,5.0907324795,120.39865629,15.47653901,3.1101912047,20.738032983,41.663783803
session_6965771386,user12,9,0.8923622633,119.86071541,59.223091367,32.176146393,17.416912212,21.157731824,179.14508178,19.376238216,26.529809642,0.8923622633,47.397196622
session_6974460768,user12,4,0.5340588197,103.43845811,48.892967666,11.123797561,0.5340588197,7.094659432,160.82587712,9.720531332,4.1536316817,16.01017967,48.210315152
session_6983304371,user12,8,0.5541219163,107.05494502,51.812018455,8.5242093537,3.4538937627,13.829218575,161.91704684,22.547732332,0.5541219163,24.983508516,64.25148658
session_7061089586,user12,8,0.7847551735,88.451645379,41.069041875,4.4177918352,2.4414743312,7.9615013578,148.67856449,18.639164493,0.7847551735,22.271009827,50.673775038
session_7149136762,user12,8,0.7167666933,90.187168024,46.126329525,4.8001120209,3.1179981315,9.0299281192,142.07590148,20.384947861,0.7167666933,23.47167761,53.304073073
session_7168735362,user12,9,1.7387299898,111.05008239,43.622905723,27.618481927,14.853966554,16.971057634,176.67153524,15.813810459,23.857460909,1.7387299898,41.994344095
session_7214352144,user12,4,1.3717171267,109.61558134,50.750885191,15.804517982,1.3717171267,7.526566831,164.96468137,6.0071377264,8.0973470081,14.362333176,45.784849643
session_7251443361,user12,8,1.36033664,76.551642716,39.637917059,1.7533131679,5.5714725524,9.5614302103,133.87642423,25.48805094,1.36033664,26.674438193,49.785990962
session_7328625738,user12,4,0.5425027599,101.54500624,47.934441934,11.248432182,0.5425027599,5.7698040971,154.42117253,8.0115527931,4.756008163,14.546653897,45.35681031
session_7361695503,user12,5,3.2552788063,58.52778404,47.284362682,15.02941532,12.644271861,3.2552788063,105.58563995,10.75450249,21.598788023,21.860882168,15.408428385
session_7370953010,user12,4,1.8001858833,98.360956381,47.514644466,8.0331336417,1.8001858833,8.990202215,152.5519069,15.672925709,2.1253042304,20.166132542,51.73706037
session_7374443981,user12,8,0.257892423,97.746448478,48.992296251,6.2342245994,3.2366532736,11.584016412,155.69706385,22.012476966,0.257892423,26.979280143,59.616759892
session_7454853209,user12,5,1.2883669032,64.875278105,31.617828922,4.3341262604,3.9304498678,1.2883669032,126.46195262,11.498360515,7.3132253431,17.824337569,27.160588521
session_7489987884,user12,4,2.6444230877,88.879035616,32.831516751,6.0864306559,2.6444230877,7.7110844805,151.24037911,15.67286886,3.3639992136,20.120673913,45.893526281
session_7528264650,user12,7,1.5923449995,107.74940402,59.300075568,34.673707447,14.701353278,10.540403467,159.78872722,1.5923449995,31.60599828,21.468242381,30.581482037
session_7562248450,user12,8,0.195923825,102.64708694,49.896701238,7.1273023377,4.1213675187,13.749584668,160.08584112,24.47411915,0.195923825,26.420700279,64.224152081
